announce_date;number_of_suspected_case_repoted_to_cdc;number_of_suspected_case_repoted_to_cdc;number_of_suspected_case_repoted_to_cdc;number_of_local_positive_cases;number_of_positive_cases_from_panshi_ship;number_of_unknown_positive_cases;dead;recovery;hospital_quarantine_reported;note;reference
2022-05-13 ;9374088;8739409;12092;623724;36;15;1009;;;指揮中心統計，截至目前國內累計9,374,088例新型冠狀病毒肺炎相關通報(含8,739,409例排除)，其中635,870例確診，分別為12,092例境外移入、623,724例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計1,009例COVID-19死亡病例，其中994例本土，個案居住縣市分布為新北市483例、臺北市360例、基隆市44例、桃園市36例、彰化縣16例、新竹縣14例、臺中市11例、宜蘭縣6例、花蓮縣5例、屏東縣4例、苗栗縣3例、高雄市、雲林縣、南投縣、臺南市及臺東縣各2例、新竹市及嘉義縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/jdZPd_ksulIRROCpqkVp3g?typeid=9
2022-05-12 ;9284358;8712480;12052;558764;36;15;968;;;指揮中心統計，截至目前國內累計9,284,358例新型冠狀病毒肺炎相關通報(含8,712,480例排除)，其中570,870例確診，分別為12,052例境外移入、558,764例本土病例、36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計968例COVID-19死亡病例，其中953例本土，個案居住縣市分布為新北市463例、臺北市346例、基隆市41例、桃園市36例、彰化縣16例、新竹縣14例、臺中市7例、宜蘭縣6例、花蓮縣5例、屏東縣4例、苗栗縣3例、高雄市、雲林縣、南投縣、臺南市及臺東縣各2例、新竹市及嘉義縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/2vGu58vPEsUFmLdfo1D3Pg?typeid=9
2022-05-11 ;9191841;8684461;11991;493410;36;15;951;;;指揮中心統計，截至目前國內累計9,191,841例新型冠狀病毒肺炎相關通報(含8,684,461例排除)，其中505,455例確診，分別為11,991例境外移入、493,410例本土病例、36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計951例COVID-19死亡病例，其中936例本土，個案居住縣市分布為新北市450例、臺北市343例、基隆市41例、桃園市36例、彰化縣16例、新竹縣14例、臺中市7例、宜蘭縣6例、花蓮縣5例、屏東縣4例、苗栗縣3例，高雄市、雲林縣、南投縣及臺南市各2例，新竹市、臺東縣及嘉義縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/3aEsJh8SdJPOgJ-ff-upFQ?typeid=9
2022-05-10 ;9074309;8636383;11963;436306;36;15;943;;;指揮中心統計，截至目前國內累計9,074,309例新型冠狀病毒肺炎相關通報(含8,636,383例排除)，其中448,323例確診，分別為11,963例境外移入，436,306本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計943例COVID-19死亡病例，其中928例本土，個案居住縣市分布為新北市448例、臺北市343例、基隆市41例、桃園市32例、彰化縣16例、新竹縣14例、臺中市7例、宜蘭縣6例、花蓮縣5例、屏東縣4例、苗栗縣3例，高雄市及雲林縣各2例，新竹市、南投縣、臺南市、臺東縣及嘉義縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/ObyS7SLiqoC04gKfEiBsBw?typeid=9
2022-05-09 ;9018466;8619519;11914;385536;36;15;931;;;指揮中心統計，截至目前國內累計9,018,466例新型冠狀病毒肺炎相關通報(含8,619,519例排除)，其中397,504例確診，分別為11,914例境外移入、385,536例本土病例、36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計931例COVID-19死亡病例，其中916例本土，個案居住縣市分布為新北市443例、臺北市339例、基隆市40例、桃園市32例、彰化縣15例、新竹縣14例、臺中市及宜蘭縣各6例、花蓮縣5例、屏東縣4例、苗栗縣3例、高雄市及雲林縣各2例、新竹市、南投縣、臺南市、臺東縣及嘉義縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/IG_e_Y3fjfTZ31OS0u7W-w?typeid=9
2022-05-08 ;8953831;8596952;11872;345345;36;15;919;;;指揮中心統計，截至目前國內累計8,953,831例新型冠狀病毒肺炎相關通報(含8,596,952例排除)，其中357,271例確診，分別為11,872例境外移入、345,345例本土病例、36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計919例COVID-19死亡病例，其中904例本土，個案居住縣市分布為新北市438例、臺北市337例、基隆市38例、桃園市32例、彰化縣15例、新竹縣14例、臺中市及宜蘭縣各6例、花蓮縣4例、苗栗縣及屏東縣各3例、高雄市及雲林縣各2例、新竹市、南投縣、臺南市及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/qSQfMvPB3cooFpj9QfI2WQ?typeid=9
2022-05-07 ;8882852;8568101;11811;303118;36;15;907;;;指揮中心統計，截至目前國內累計8,882,852例新型冠狀病毒肺炎相關通報(含8,568,101例排除)，其中314,983例確診，分別為11,811例境外移入、303,118本土病例、36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計907例COVID-19死亡病例，其中892例本土，個案居住縣市分布為新北市432例、臺北市333例、基隆市36例、桃園市32例、彰化縣15例、新竹縣14例、臺中市及宜蘭縣各6例、花蓮縣4例、苗栗縣及屏東縣各3例，高雄市及雲林縣各2例，新竹市、南投縣、臺南市及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/yDfYlNn_w-bJZjk6F5lw2w?typeid=9
2022-05-06 ;8806655;8536695;11656;256859;36;15;896;;;指揮中心統計，截至目前國內累計8,806,655例新型冠狀病毒肺炎相關通報(含8,536,695例排除)，其中268,569例確診，分別為11,656例境外移入、256,859例本土病例、36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計896例COVID-19死亡病例，其中881例本土，個案居住縣市分布為新北市430例、臺北市328例、基隆市35例、桃園市32例、彰化縣15例、新竹縣14例、臺中市及宜蘭縣各5例、花蓮縣4例、苗栗縣及屏東縣各3例、高雄市2例、新竹市、南投縣、雲林縣、臺南市及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/Ge9xXBoEZAGDqpgOzRYklg?typeid=9
2022-05-05 ;8740450;8503984;11611;220737;36;15;886;;;指揮中心統計，截至目前國內累計8,740,450例新型冠狀病毒肺炎相關通報(含8,503,984例排除)，其中232,402例確診，分別為11,611例境外移入、220,737例本土病例、36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計886例COVID-19死亡病例，其中871例本土，個案居住縣市分布為新北市422例、臺北市328例、基隆市34例、桃園市32例、彰化縣15例、新竹縣14例、臺中市5例、花蓮縣及宜蘭縣各4例、苗栗縣及屏東縣各3例、高雄市2例、新竹市、南投縣、雲林縣、臺南市及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/lB_M2kz7qGC7wa6ClpE63w?typeid=9
2022-05-04 ;8674722;8469484;11548;190816;36;15;881;;;指揮中心統計，截至目前國內累計 8,674,722例新型冠狀病毒肺炎相關通報(含 8,469,484例排除)，其中 202,418例確診，分別為 11,548例境外移入、190,816例本土病例、36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計881例COVID-19死亡病例，其中866 例本土，個案居住縣市分布為新北市420例、臺北市327例、基隆市34例、桃園市32例、彰化縣15例、新竹縣13例、臺中市5例、花蓮縣及宜蘭縣各4例、苗栗縣及屏東縣各3例，新竹市、南投縣、雲林縣、臺南市、高雄市及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/d7M0zae0GTsqWLeK6YTI7Q?typeid=9
2022-05-03 ;8602849;8426123;11481;162407;36;15;876;;;指揮中心統計，截至目前國內累計8,602,849例新型冠狀病毒肺炎相關通報(含8,426,123例排除)，其中173,942例確診，分別為11,481例境外移入，162,407例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計876例COVID-19死亡病例，其中861例本土，個案居住縣市分布為新北市418例、臺北市326例、基隆市34例、桃園市30例、彰化縣15例、新竹縣13例、臺中市5例、花蓮縣及宜蘭縣各4例、苗栗縣及屏東縣各3例，新竹市、南投縣、雲林縣、臺南市、高雄市及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/8FCj15ddw3EAK6D-qpMl0g?typeid=9
2022-05-02 ;8537162;8383732;11443;139311;36;15;871;;;指揮中心統計，截至目前國內累計8,537,162例新型冠狀病毒肺炎相關通報(含8,383,732例排除)，其中150,808例確診，分別為11,443例境外移入，139,311本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計871例COVID-19死亡病例，其中856例本土，個案居住縣市分布為新北市418例、臺北市325例、基隆市34例、桃園市29例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣、花蓮縣及宜蘭縣各3例、屏東縣2例，新竹市、南投縣、雲林縣、臺南市、高雄市及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/ilP2den5fmDt6xI14MRpcA?typeid=9
2022-05-01 ;8486964;8352658;11386;121515;36;15;868;;;指揮中心統計，截至目前國內累計8,486,964例新型冠狀病毒肺炎相關通報(含8,352,658例排除)，其中132,955例確診，分別為11,386例境外移入，121,515本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計868例COVID-19死亡病例，其中853例本土，個案居住縣市分布為新北市418例、臺北市324例、基隆市34例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣及花蓮縣各3例、宜蘭縣及屏東縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/MPWhtO11JDM9MIqbU6bhOA?typeid=9
2022-04-30 ;8429657;8311873;11236;104593;36;15;865;;;指揮中心統計，截至目前國內累計8,429,657例新型冠狀病毒肺炎相關通報(含8,311,873例排除)，其中115,883例確診，分別為11,236例境外移入，104,593本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。 2020年起累計865例COVID-19死亡病例，其中850例本土，個案居住縣市分布為新北市417例、臺北市323例、基隆市33例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣及花蓮縣各3例、宜蘭縣及屏東縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/N5nKpuNcsuFbi3iwJbP1Sg?typeid=9
2022-04-29 ;8371328;8268779;11120;89579;36;15;862;;;指揮中心統計，截至目前國內累計8,371,328例新型冠狀病毒肺炎相關通報(含8,268,779例排除)，其中100,753例確診，分別為11,120例境外移入，89,579本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計862例COVID-19死亡病例，其中847例本土，個案居住縣市分布為新北市417例、臺北市322例、基隆市31例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣及花蓮縣各3例、宜蘭縣及屏東縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/otih7YjQBH5YHe5vdlgPDA?typeid=9
2022-04-28 ;8309027;8218899;10783;77609;36;15;860;;;指揮中心統計，截至目前國內累計8,309,027例新型冠狀病毒肺炎相關通報(含8,218,899例排除)，其中88,446例確診，分別為10,783例境外移入，77,609本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計860例COVID-19死亡病例，其中845例本土，個案居住縣市分布為新北市416例，臺北市322例，基隆市31例，桃園市28例，彰化縣15例，新竹縣13例，臺中市5例，苗栗縣及花蓮縣各3例，宜蘭縣2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/vZ6hLSvE4HfLYXZJ42eY4A?typeid=9
2022-04-27 ;8244479;8166125;10618;66266;36;15;858;;;指揮中心統計，截至目前國內累計8,244,479例新型冠狀病毒肺炎相關通報(含8,166,125例排除)，其中76,938例確診，分別為10,618例境外移入，66,266本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計858例COVID-19死亡病例，其中843例本土，個案居住縣市分布為新北市415例，臺北市322例，基隆市30例，桃園市28例，彰化縣15例，新竹縣13例，臺中市5例，苗栗縣及花蓮縣各3例，宜蘭縣2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另15例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/47YIfKQPGm9Iv4YVX58huA?typeid=9
2022-04-26 ;8174134;8105057;10521;57447;36;15;856;;;指揮中心統計，截至目前國內累計8,174,134例新型冠狀病毒肺炎相關通報(含8,105,057例排除)，其中68,022例確診，分別為10,521例境外移入，57,447本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計856例COVID-19死亡病例，其中842例本土，個案居住縣市分布為新北市415例、臺北市322例、基隆市30例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/0QDHYP6CUROcYXlIND4cHg?typeid=9
2022-04-25 ;8109514;8047085;10462;51170;36;15;856;;;指揮中心統計，截至目前國內累計8,109,514例新型冠狀病毒肺炎相關通報(含8,047,085例排除)，其中61,686例確診，分別為10,462例境外移入，51,170本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增3例空號病例(原本土病例案45410、案50749及案56285經疫調後為重複或陰性個案，改列空號)，累計217例移除為空號。2020年起累計856例COVID-19死亡病例，其中842例本土，個案居住縣市分布為新北市415例、臺北市322例、基隆市30例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/edghjKgD6rMZVduLafE0MQ?typeid=9
2022-04-24 ;8065698;8009048;10349;46065;36;15;856;;;指揮中心統計，截至目前國內累計8,065,698例新型冠狀病毒肺炎相關通報(含8,009,048例排除)，其中56,468例確診，分別為10,349例境外移入，46,065本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增2例空號病例(原本土病例案48271、案51272經疫調後為重複或陰性個案，改列空號)，累計214例移除為空號。2020年起累計856例COVID-19死亡病例，其中842例本土，個案居住縣市分布為新北市415例、臺北市322例、基隆市30例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/crwRuw-bw4RLXAvbCNiU9A?typeid=9
2022-04-23 ;8011272;7959488;10267;40977;36;15;856;;;指揮中心統計，截至目前國內累計8,011,272例新型冠狀病毒肺炎相關通報(含7,959,488例排除)，其中51,298例確診，分別為10,267例境外移入，40,977例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增6例空號病例(原本土病例案34815、案37575、案44227、案44925、案46703及案46898經疫調後為重複或陰性個案，改列空號)，累計212例移除為空號。2020年起累計856例COVID-19死亡病例，其中842例本土，個案居住縣市分布為新北市415例、臺北市322例、基隆市30例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/m7iBUXiqulLtEy-1K-YlqQ?typeid=9
2022-04-22 ;7951954;7903776;10187;36859;36;15;856;;;指揮中心統計，截至目前國內累計7,951,754例新型冠狀病毒肺炎相關通報(含7,903,776例排除)，其中47,100例確診，分別為10,187例境外移入，36,859例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增2例空號病例(原本土病例案41572、案42576經疫調後為陰性個案，改列空號)，累計206例移除為空號。2020年起累計856例COVID-19死亡病例，其中842例本土，個案居住縣市分布為新北市415例、臺北市322例、基隆市30例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/hRyNR-mLt6CMc7TaFrudXw?typeid=9
2022-04-21 ;7892915;7849302;10076;33113;36;15;856;;;指揮中心統計，截至目前國內累計7,892,915例新型冠狀病毒肺炎相關通報(含7,849,302例排除)，其中43,243例確診，分別為10,076例境外移入，33,113例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增1例空號病例(原本土病例案39690經疫調後為陰性個案，改列空號)，累計204例移除為空號。2020年起累計856例COVID-19死亡病例，其中842例本土，個案居住縣市分布為新北市415例、臺北市322例、基隆市30例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/6KzrsPM5VtNbUfUtHDvtOw?typeid=9
2022-04-20 ;7831697;7791199;9985;30147;36;15;856;;;"指揮中心統計，截至目前國內累計7,831,697例新型冠狀病毒肺炎相關通報(含7,791,199例排除)，其中40,186例確診，分別為9,985例境外移入，30,147本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增5例空號病例(原本土病例案34027、案36192及案37406；原境外病例案35327及案37537經疫調後為重複或陰性個案，改列空號)，累計203例移除為空號。2020年起累計856例COVID-19死亡病例，其中842例本土，個案居住縣市分布為新北市415例、臺北市322例、基隆市30例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。
";https://www.cdc.gov.tw/Bulletin/Detail/HXIjgoVbhpKXG_i7w3cLNw?typeid=9
2022-04-19 ;7777985;7739719;9889;27767;36;15;856;;;指揮中心統計，截至目前國內累計7,777,985例新型冠狀病毒肺炎相關通報(含7,739,719例排除)，其中37,710例確診，分別為9,889例境外移入，27,767本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計198例移除為空號。2020年起累計856例COVID-19死亡病例，其中842例本土，個案居住縣市分布為新北市415例、臺北市322例、基隆市30例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/k8j_uRRfclsPDwJrcXh4qw?typeid=9
2022-04-18 ;7724748;7688405;9785;26144;36;15;854;;;"指揮中心統計，截至目前國內累計7,724,748例新型冠狀病毒肺炎相關通報(含7,688,405例排除)，其中35,983例確診，分別為9,785例境外移入，26,144本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增4例空號病例(原本土病例案33730、案34513、案34646、案34666，經疫調後為陰性個案，改列空號)，累計198例移除為空號。2020年起累計854例COVID-19死亡病例，其中840例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市30例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。
";https://www.cdc.gov.tw/Bulletin/Detail/wl_fiZDXFR_nGihv1YSbew?typeid=9
